nohup: ignoring input
2018031
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'MSCK REPAIR TABLE transfer_staging'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Successfully found partition for 2023-05-13-01-00
Query state is currently QUEUED for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-05-13-01-00' AND key like '%/2018/01/31/%''. Waiting 15 seconds
Query state is currently RUNNING for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-05-13-01-00' AND key like '%/2018/01/31/%''. Waiting 15 seconds
Successfully retrieved 5564 objects with key filter %/2018/01/31/%
2023-05-15 14:17:02.245209
Time: 2023-05-15 14:17:02.312459 - 5564 granules remaining
Time: 2023-05-15 14:18:02.376404 - 5484 granules remaining
Time: 2023-05-15 14:19:02.438292 - 5404 granules remaining
Time: 2023-05-15 14:20:02.496411 - 5363 granules remaining
Time: 2023-05-15 14:21:02.556397 - 5285 granules remaining
Time: 2023-05-15 14:22:02.616403 - 5244 granules remaining
Time: 2023-05-15 14:23:02.676405 - 5205 granules remaining
Time: 2023-05-15 14:24:02.736401 - 5169 granules remaining
Time: 2023-05-15 14:25:02.796399 - 5141 granules remaining
Time: 2023-05-15 14:26:02.860190 - 5124 granules remaining
Time: 2023-05-15 14:27:02.916407 - 5084 granules remaining
Time: 2023-05-15 14:28:02.977437 - 5048 granules remaining
Time: 2023-05-15 14:29:03.036437 - 5040 granules remaining
Time: 2023-05-15 14:30:03.096410 - 5004 granules remaining
Time: 2023-05-15 14:31:03.156417 - 4965 granules remaining
Time: 2023-05-15 14:32:03.216413 - 4945 granules remaining
Time: 2023-05-15 14:33:03.276407 - 4924 granules remaining
Time: 2023-05-15 14:34:03.336408 - 4884 granules remaining
Time: 2023-05-15 14:35:03.396412 - 4858 granules remaining
Time: 2023-05-15 14:36:03.458278 - 4843 granules remaining
Time: 2023-05-15 14:37:03.516405 - 4804 granules remaining
Time: 2023-05-15 14:38:03.576402 - 4767 granules remaining
Time: 2023-05-15 14:39:03.636407 - 4755 granules remaining
Time: 2023-05-15 14:40:03.696406 - 4724 granules remaining
Time: 2023-05-15 14:41:03.758626 - 4684 granules remaining
Time: 2023-05-15 14:42:03.816405 - 4664 granules remaining
Time: 2023-05-15 14:43:03.876402 - 4643 granules remaining
Time: 2023-05-15 14:44:03.936407 - 4604 granules remaining
Time: 2023-05-15 14:45:03.996409 - 4570 granules remaining
Time: 2023-05-15 14:46:04.056400 - 4559 granules remaining
Time: 2023-05-15 14:47:04.116403 - 4524 granules remaining
Time: 2023-05-15 14:48:04.176398 - 4485 granules remaining
Time: 2023-05-15 14:49:04.236400 - 4471 granules remaining
Time: 2023-05-15 14:50:04.296403 - 4443 granules remaining
Time: 2023-05-15 14:51:04.356400 - 4405 granules remaining
Time: 2023-05-15 14:52:04.416412 - 4373 granules remaining
Time: 2023-05-15 14:53:04.476411 - 4359 granules remaining
Time: 2023-05-15 14:54:04.536408 - 4324 granules remaining
Time: 2023-05-15 14:55:04.596862 - 4287 granules remaining
Time: 2023-05-15 14:56:04.656407 - 4267 granules remaining
Time: 2023-05-15 14:57:04.716410 - 4243 granules remaining
Time: 2023-05-15 14:58:04.776402 - 4204 granules remaining
Time: 2023-05-15 14:59:04.836423 - 4174 granules remaining
Time: 2023-05-15 15:00:04.896397 - 4158 granules remaining
Time: 2023-05-15 15:01:04.956398 - 4124 granules remaining
Time: 2023-05-15 15:02:05.016405 - 4089 granules remaining
Time: 2023-05-15 15:03:05.076403 - 4071 granules remaining
Time: 2023-05-15 15:04:05.136404 - 4044 granules remaining
Time: 2023-05-15 15:05:05.196412 - 4008 granules remaining
Time: 2023-05-15 15:06:05.256402 - 3988 granules remaining
Time: 2023-05-15 15:07:05.316406 - 3963 granules remaining
Time: 2023-05-15 15:08:05.380431 - 3924 granules remaining
Time: 2023-05-15 15:09:05.440403 - 3901 granules remaining
Time: 2023-05-15 15:10:05.500400 - 3875 granules remaining
Time: 2023-05-15 15:11:05.560667 - 3843 granules remaining
Time: 2023-05-15 15:12:05.620417 - 3811 granules remaining
Time: 2023-05-15 15:13:05.680403 - 3792 granules remaining
Time: 2023-05-15 15:14:05.740399 - 3762 granules remaining
Time: 2023-05-15 15:15:05.800403 - 3725 granules remaining
Time: 2023-05-15 15:16:05.860406 - 3704 granules remaining
Time: 2023-05-15 15:17:05.920403 - 3679 granules remaining
Time: 2023-05-15 15:18:05.980416 - 3643 granules remaining
Time: 2023-05-15 15:19:06.040410 - 3616 granules remaining
Time: 2023-05-15 15:20:06.100402 - 3591 granules remaining
Time: 2023-05-15 15:21:06.160405 - 3560 granules remaining
Time: 2023-05-15 15:22:06.220414 - 3525 granules remaining
Time: 2023-05-15 15:23:06.280421 - 3511 granules remaining
Time: 2023-05-15 15:24:06.341949 - 3478 granules remaining
Time: 2023-05-15 15:25:06.400410 - 3443 granules remaining
Time: 2023-05-15 15:26:06.460407 - 3420 granules remaining
Time: 2023-05-15 15:27:06.520408 - 3396 granules remaining
Time: 2023-05-15 15:28:06.580406 - 3362 granules remaining
Time: 2023-05-15 15:29:06.640409 - 3328 granules remaining
Time: 2023-05-15 15:30:06.700404 - 3311 granules remaining
Time: 2023-05-15 15:31:06.760400 - 3279 granules remaining
Time: 2023-05-15 15:32:06.820406 - 3245 granules remaining
Time: 2023-05-15 15:33:06.883742 - 3228 granules remaining
Time: 2023-05-15 15:34:06.941243 - 3197 granules remaining
Time: 2023-05-15 15:35:07.000404 - 3161 granules remaining
Time: 2023-05-15 15:36:07.060399 - 3132 granules remaining
Time: 2023-05-15 15:37:07.120404 - 3111 granules remaining
Time: 2023-05-15 15:38:07.180408 - 3080 granules remaining
Time: 2023-05-15 15:39:07.240404 - 3046 granules remaining
Time: 2023-05-15 15:40:07.300404 - 3026 granules remaining
Time: 2023-05-15 15:41:07.361629 - 2997 granules remaining
Time: 2023-05-15 15:42:07.420404 - 2962 granules remaining
Time: 2023-05-15 15:43:07.480405 - 2938 granules remaining
Time: 2023-05-15 15:44:07.540393 - 2912 granules remaining
Time: 2023-05-15 15:45:07.600403 - 2881 granules remaining
Time: 2023-05-15 15:46:07.660403 - 2848 granules remaining
Time: 2023-05-15 15:47:07.720402 - 2825 granules remaining
Time: 2023-05-15 15:48:07.780412 - 2797 granules remaining
Time: 2023-05-15 15:49:07.840406 - 2763 granules remaining
Time: 2023-05-15 15:50:07.900401 - 2740 granules remaining
Time: 2023-05-15 15:51:07.960403 - 2716 granules remaining
Time: 2023-05-15 15:52:08.020397 - 2680 granules remaining
Time: 2023-05-15 15:53:08.080406 - 2655 granules remaining
Time: 2023-05-15 15:54:08.140406 - 2630 granules remaining
Time: 2023-05-15 15:55:08.201519 - 2599 granules remaining
Time: 2023-05-15 15:56:08.264403 - 2566 granules remaining
Time: 2023-05-15 15:57:08.324408 - 2546 granules remaining
Time: 2023-05-15 15:58:08.384397 - 2517 granules remaining
Time: 2023-05-15 15:59:08.444404 - 2483 granules remaining
Time: 2023-05-15 16:00:08.504402 - 2456 granules remaining
Time: 2023-05-15 16:01:08.564454 - 2435 granules remaining
Time: 2023-05-15 16:02:08.624406 - 2402 granules remaining
Time: 2023-05-15 16:03:08.684406 - 2369 granules remaining
Time: 2023-05-15 16:04:08.744412 - 2346 granules remaining
Time: 2023-05-15 16:05:08.804635 - 2317 granules remaining
Time: 2023-05-15 16:06:08.864398 - 2287 granules remaining
Time: 2023-05-15 16:07:08.924400 - 2262 granules remaining
Time: 2023-05-15 16:08:08.984399 - 2236 granules remaining
Time: 2023-05-15 16:09:09.044408 - 2206 granules remaining
Time: 2023-05-15 16:10:09.104400 - 2178 granules remaining
Time: 2023-05-15 16:11:09.168036 - 2155 granules remaining
Time: 2023-05-15 16:12:09.224416 - 2118 granules remaining
Time: 2023-05-15 16:13:09.284399 - 2092 granules remaining
Time: 2023-05-15 16:14:09.345556 - 2066 granules remaining
Time: 2023-05-15 16:15:09.404401 - 2038 granules remaining
Time: 2023-05-15 16:16:09.464400 - 2012 granules remaining
Time: 2023-05-15 16:17:09.524398 - 1984 granules remaining
Time: 2023-05-15 16:18:09.586682 - 1957 granules remaining
Time: 2023-05-15 16:19:09.645271 - 1927 granules remaining
Time: 2023-05-15 16:20:09.704406 - 1903 granules remaining
Time: 2023-05-15 16:21:09.764399 - 1876 granules remaining
Time: 2023-05-15 16:22:09.824407 - 1844 granules remaining
Time: 2023-05-15 16:23:09.885863 - 1821 granules remaining
Time: 2023-05-15 16:24:09.945373 - 1793 granules remaining
Time: 2023-05-15 16:25:10.004406 - 1760 granules remaining
Time: 2023-05-15 16:26:10.064402 - 1731 granules remaining
Time: 2023-05-15 16:27:10.124401 - 1710 granules remaining
Time: 2023-05-15 16:28:10.184403 - 1679 granules remaining
Time: 2023-05-15 16:29:10.244403 - 1647 granules remaining
Time: 2023-05-15 16:30:10.304407 - 1625 granules remaining
Time: 2023-05-15 16:31:10.364403 - 1597 granules remaining
Time: 2023-05-15 16:32:10.424401 - 1566 granules remaining
Time: 2023-05-15 16:33:10.484399 - 1539 granules remaining
Time: 2023-05-15 16:34:10.544402 - 1514 granules remaining
Time: 2023-05-15 16:35:10.604401 - 1482 granules remaining
Time: 2023-05-15 16:36:10.664400 - 1450 granules remaining
Time: 2023-05-15 16:37:10.724401 - 1430 granules remaining
Time: 2023-05-15 16:38:10.784402 - 1399 granules remaining
Time: 2023-05-15 16:39:10.844407 - 1364 granules remaining
Time: 2023-05-15 16:40:10.904401 - 1342 granules remaining
Time: 2023-05-15 16:41:10.964414 - 1317 granules remaining
Time: 2023-05-15 16:42:11.024394 - 1282 granules remaining
Time: 2023-05-15 16:43:11.084416 - 1256 granules remaining
Time: 2023-05-15 16:44:11.144416 - 1235 granules remaining
Time: 2023-05-15 16:45:11.204409 - 1202 granules remaining
Time: 2023-05-15 16:46:11.264417 - 1170 granules remaining
Time: 2023-05-15 16:47:11.324423 - 1150 granules remaining
Time: 2023-05-15 16:48:11.386229 - 1118 granules remaining
Time: 2023-05-15 16:49:11.445296 - 1084 granules remaining
Time: 2023-05-15 16:50:11.504401 - 1065 granules remaining
Time: 2023-05-15 16:51:11.564409 - 1037 granules remaining
Time: 2023-05-15 16:52:11.624400 - 1002 granules remaining
Time: 2023-05-15 16:53:11.684412 - 972 granules remaining
Time: 2023-05-15 16:54:11.744403 - 952 granules remaining
Time: 2023-05-15 16:55:11.804404 - 919 granules remaining
Time: 2023-05-15 16:56:11.864421 - 889 granules remaining
Time: 2023-05-15 16:57:11.924400 - 869 granules remaining
Time: 2023-05-15 16:58:11.984403 - 838 granules remaining
Time: 2023-05-15 16:59:12.044404 - 808 granules remaining
Time: 2023-05-15 17:00:12.105557 - 784 granules remaining
Time: 2023-05-15 17:01:12.164406 - 758 granules remaining
Time: 2023-05-15 17:02:12.224407 - 727 granules remaining
Time: 2023-05-15 17:03:12.284401 - 703 granules remaining
Time: 2023-05-15 17:04:12.344409 - 677 granules remaining
Time: 2023-05-15 17:05:12.404404 - 643 granules remaining
Time: 2023-05-15 17:06:12.464403 - 623 granules remaining
Time: 2023-05-15 17:07:12.524402 - 596 granules remaining
Time: 2023-05-15 17:08:12.584411 - 560 granules remaining
Time: 2023-05-15 17:09:12.644403 - 537 granules remaining
Time: 2023-05-15 17:10:12.704414 - 512 granules remaining
Time: 2023-05-15 17:11:12.764398 - 479 granules remaining
Time: 2023-05-15 17:12:12.825320 - 450 granules remaining
Time: 2023-05-15 17:13:12.884444 - 428 granules remaining
Time: 2023-05-15 17:14:12.944400 - 398 granules remaining
Time: 2023-05-15 17:15:13.004777 - 367 granules remaining
Time: 2023-05-15 17:16:13.064401 - 340 granules remaining
Time: 2023-05-15 17:17:13.124414 - 318 granules remaining
Time: 2023-05-15 17:18:13.184405 - 283 granules remaining
Time: 2023-05-15 17:19:13.244397 - 259 granules remaining
Time: 2023-05-15 17:20:13.304973 - 236 granules remaining
Time: 2023-05-15 17:21:13.364411 - 200 granules remaining
Time: 2023-05-15 17:22:13.424399 - 171 granules remaining
Time: 2023-05-15 17:23:13.484404 - 149 granules remaining
Time: 2023-05-15 17:24:13.544399 - 120 granules remaining
Time: 2023-05-15 17:25:13.604402 - 86 granules remaining
Time: 2023-05-15 17:26:13.664422 - 66 granules remaining
Time: 2023-05-15 17:27:13.724867 - 37 granules remaining
2023-05-15 17:28:13.784404
2018030
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'MSCK REPAIR TABLE transfer_staging'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Successfully found partition for 2023-05-14-01-00
Query state is currently QUEUED for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-05-14-01-00' AND key like '%/2018/01/30/%''. Waiting 15 seconds
Query state is currently RUNNING for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-05-14-01-00' AND key like '%/2018/01/30/%''. Waiting 15 seconds
Successfully retrieved 5579 objects with key filter %/2018/01/30/%
2023-05-15 17:29:54.403676
Time: 2023-05-15 17:29:56.780862 - 5579 granules remaining
Time: 2023-05-15 17:30:56.840400 - 5579 granules remaining
Time: 2023-05-15 17:31:56.900394 - 5539 granules remaining
Time: 2023-05-15 17:32:56.960399 - 5499 granules remaining
Time: 2023-05-15 17:33:57.020457 - 5498 granules remaining
Time: 2023-05-15 17:34:57.080408 - 5459 granules remaining
Time: 2023-05-15 17:35:57.140409 - 5419 granules remaining
Time: 2023-05-15 17:36:57.200422 - 5398 granules remaining
Time: 2023-05-15 17:37:57.260403 - 5379 granules remaining
Time: 2023-05-15 17:38:57.320414 - 5339 granules remaining
Time: 2023-05-15 17:39:57.380398 - 5299 granules remaining
Time: 2023-05-15 17:40:57.440403 - 5290 granules remaining
Time: 2023-05-15 17:41:57.501330 - 5259 granules remaining
Time: 2023-05-15 17:42:57.560401 - 5219 granules remaining
Time: 2023-05-15 17:43:57.620403 - 5186 granules remaining
Time: 2023-05-15 17:44:57.680438 - 5178 granules remaining
Time: 2023-05-15 17:45:57.740393 - 5139 granules remaining
Time: 2023-05-15 17:46:57.800397 - 5101 granules remaining
Time: 2023-05-15 17:47:57.860406 - 5095 granules remaining
Time: 2023-05-15 17:48:57.920407 - 5059 granules remaining
Time: 2023-05-15 17:49:57.980420 - 5019 granules remaining
Time: 2023-05-15 17:50:58.040404 - 5000 granules remaining
Time: 2023-05-15 17:51:58.100409 - 4979 granules remaining
Time: 2023-05-15 17:52:58.160467 - 4939 granules remaining
Time: 2023-05-15 17:53:58.220406 - 4904 granules remaining
Time: 2023-05-15 17:54:58.280398 - 4892 granules remaining
Time: 2023-05-15 17:55:58.340409 - 4859 granules remaining
Time: 2023-05-15 17:56:58.401262 - 4820 granules remaining
Time: 2023-05-15 17:57:58.460399 - 4801 granules remaining
Time: 2023-05-15 17:58:58.520399 - 4778 granules remaining
Time: 2023-05-15 17:59:58.580403 - 4739 granules remaining
Time: 2023-05-15 18:00:58.640403 - 4708 granules remaining
Time: 2023-05-15 18:01:58.700402 - 4695 granules remaining
Time: 2023-05-15 18:02:58.760417 - 4659 granules remaining
Time: 2023-05-15 18:03:58.820400 - 4623 granules remaining
