nohup: ignoring input
2018243
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'MSCK REPAIR TABLE transfer_staging'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Successfully found partition for 2023-04-29-01-00
Query state is currently QUEUED for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-04-29-01-00' AND key like '%/2018/08/31/%''. Waiting 15 seconds
Query state is currently RUNNING for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-04-29-01-00' AND key like '%/2018/08/31/%''. Waiting 15 seconds
Successfully retrieved 9773 objects with key filter %/2018/08/31/%
2023-05-01 14:50:02.660000
Time: 2023-05-01 14:50:02.737152 - 9773 granules remaining
Time: 2023-05-01 14:51:02.796634 - 9733 granules remaining
Time: 2023-05-01 14:52:02.854183 - 9693 granules remaining
Time: 2023-05-01 14:53:02.914760 - 9693 granules remaining
Time: 2023-05-01 14:54:02.974176 - 9653 granules remaining
Time: 2023-05-01 14:55:03.034174 - 9613 granules remaining
Time: 2023-05-01 14:56:03.094177 - 9610 granules remaining
Time: 2023-05-01 14:57:03.154173 - 9573 granules remaining
Time: 2023-05-01 14:58:03.214157 - 9533 granules remaining
Time: 2023-05-01 14:59:03.274180 - 9511 granules remaining
Time: 2023-05-01 15:00:03.334168 - 9493 granules remaining
Time: 2023-05-01 15:01:03.394203 - 9453 granules remaining
Time: 2023-05-01 15:02:03.454179 - 9416 granules remaining
Time: 2023-05-01 15:03:03.514280 - 9411 granules remaining
Time: 2023-05-01 15:04:03.574182 - 9373 granules remaining
Time: 2023-05-01 15:05:03.635723 - 9335 granules remaining
Time: 2023-05-01 15:06:03.694179 - 9319 granules remaining
Time: 2023-05-01 15:07:03.754179 - 9293 granules remaining
Time: 2023-05-01 15:08:03.814178 - 9254 granules remaining
Time: 2023-05-01 15:09:03.874177 - 9229 granules remaining
Time: 2023-05-01 15:10:03.934181 - 9213 granules remaining
Time: 2023-05-01 15:11:03.994189 - 9173 granules remaining
Time: 2023-05-01 15:12:04.054179 - 9146 granules remaining
Time: 2023-05-01 15:13:04.115458 - 9131 granules remaining
Time: 2023-05-01 15:14:04.174167 - 9093 granules remaining
Time: 2023-05-01 15:15:04.234176 - 9058 granules remaining
Time: 2023-05-01 15:16:04.294174 - 9039 granules remaining
Time: 2023-05-01 15:17:04.354184 - 9011 granules remaining
Time: 2023-05-01 15:18:04.415549 - 8973 granules remaining
Time: 2023-05-01 15:19:04.474271 - 8946 granules remaining
Time: 2023-05-01 15:20:04.534171 - 8926 granules remaining
Time: 2023-05-01 15:21:04.594171 - 8893 granules remaining
Time: 2023-05-01 15:22:04.654180 - 8857 granules remaining
Time: 2023-05-01 15:23:04.714172 - 8836 granules remaining
Time: 2023-05-01 15:24:04.774184 - 8813 granules remaining
Time: 2023-05-01 15:25:04.834172 - 8774 granules remaining
Time: 2023-05-01 15:26:04.894171 - 8750 granules remaining
Time: 2023-05-01 15:27:04.954176 - 8727 granules remaining
Time: 2023-05-01 15:28:05.014175 - 8693 granules remaining
Time: 2023-05-01 15:29:05.074176 - 8657 granules remaining
Time: 2023-05-01 15:30:05.134184 - 8637 granules remaining
Time: 2023-05-01 15:31:05.194176 - 8614 granules remaining
Time: 2023-05-01 15:32:05.254174 - 8575 granules remaining
Time: 2023-05-01 15:33:05.314170 - 8553 granules remaining
Time: 2023-05-01 15:34:05.374177 - 8530 granules remaining
Time: 2023-05-01 15:35:05.434183 - 8495 granules remaining
Time: 2023-05-01 15:36:05.494172 - 8463 granules remaining
Time: 2023-05-01 15:37:05.554171 - 8444 granules remaining
Time: 2023-05-01 15:38:05.614172 - 8415 granules remaining
Time: 2023-05-01 15:39:05.674184 - 8376 granules remaining
Time: 2023-05-01 15:40:05.734204 - 8356 granules remaining
Time: 2023-05-01 15:41:05.795873 - 8329 granules remaining
Time: 2023-05-01 15:42:05.854176 - 8295 granules remaining
Time: 2023-05-01 15:43:05.914173 - 8265 granules remaining
Time: 2023-05-01 15:44:05.974172 - 8244 granules remaining
Time: 2023-05-01 15:45:06.034178 - 8214 granules remaining
Time: 2023-05-01 15:46:06.094174 - 8177 granules remaining
Time: 2023-05-01 15:47:06.155173 - 8157 granules remaining
Time: 2023-05-01 15:48:06.214250 - 8128 granules remaining
Time: 2023-05-01 15:49:06.274174 - 8095 granules remaining
Time: 2023-05-01 15:50:06.334173 - 8068 granules remaining
Time: 2023-05-01 15:51:06.394414 - 8045 granules remaining
Time: 2023-05-01 15:52:06.454177 - 8012 granules remaining
Time: 2023-05-01 15:53:06.514177 - 7978 granules remaining
Time: 2023-05-01 15:54:06.574184 - 7956 granules remaining
Time: 2023-05-01 15:55:06.634173 - 7930 granules remaining
Time: 2023-05-01 15:56:06.694167 - 7895 granules remaining
Time: 2023-05-01 15:57:06.754173 - 7861 granules remaining
Time: 2023-05-01 15:58:06.814177 - 7842 granules remaining
Time: 2023-05-01 15:59:06.874185 - 7810 granules remaining
Time: 2023-05-01 16:00:06.934172 - 7776 granules remaining
Time: 2023-05-01 16:01:06.994172 - 7748 granules remaining
Time: 2023-05-01 16:02:07.054170 - 7727 granules remaining
Time: 2023-05-01 16:03:07.114171 - 7695 granules remaining
Time: 2023-05-01 16:04:07.174180 - 7658 granules remaining
Time: 2023-05-01 16:05:07.234162 - 7636 granules remaining
Time: 2023-05-01 16:06:07.294176 - 7610 granules remaining
Time: 2023-05-01 16:07:07.354170 - 7576 granules remaining
Time: 2023-05-01 16:08:07.414171 - 7547 granules remaining
Time: 2023-05-01 16:09:07.474176 - 7523 granules remaining
Time: 2023-05-01 16:10:07.534173 - 7495 granules remaining
Time: 2023-05-01 16:11:07.594200 - 7460 granules remaining
Time: 2023-05-01 16:12:07.654180 - 7433 granules remaining
Time: 2023-05-01 16:13:07.714186 - 7411 granules remaining
Time: 2023-05-01 16:14:07.774176 - 7376 granules remaining
Time: 2023-05-01 16:15:07.837371 - 7342 granules remaining
Time: 2023-05-01 16:16:07.894175 - 7318 granules remaining
Time: 2023-05-01 16:17:07.954231 - 7295 granules remaining
Time: 2023-05-01 16:18:08.014179 - 7257 granules remaining
Time: 2023-05-01 16:19:08.074173 - 7233 granules remaining
Time: 2023-05-01 16:20:08.134182 - 7204 granules remaining
Time: 2023-05-01 16:21:08.194172 - 7176 granules remaining
Time: 2023-05-01 16:22:08.254206 - 7140 granules remaining
Time: 2023-05-01 16:23:08.314172 - 7116 granules remaining
Time: 2023-05-01 16:24:08.374169 - 7094 granules remaining
Time: 2023-05-01 16:25:08.434188 - 7058 granules remaining
Time: 2023-05-01 16:26:08.494172 - 7032 granules remaining
Time: 2023-05-01 16:27:08.554177 - 7006 granules remaining
Time: 2023-05-01 16:28:08.614174 - 6975 granules remaining
Time: 2023-05-01 16:29:08.675271 - 6943 granules remaining
Time: 2023-05-01 16:30:08.734755 - 6916 granules remaining
Time: 2023-05-01 16:31:08.794177 - 6893 granules remaining
Time: 2023-05-01 16:32:08.854185 - 6858 granules remaining
Time: 2023-05-01 16:33:08.914175 - 6828 granules remaining
