nohup: ignoring input
2019031
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'MSCK REPAIR TABLE transfer_staging'. Waiting 15 seconds
Query state is currently QUEUED for Query: 'SELECT * FROM "transfer_staging$partitions" ORDER BY dt DESC'. Waiting 15 seconds
Successfully found partition for 2023-04-24-01-00
Query state is currently QUEUED for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-04-24-01-00' AND key like '%/2019/01/31/%''. Waiting 15 seconds
Query state is currently RUNNING for Query: 'SELECT key FROM transfer_staging WHERE dt='2023-04-24-01-00' AND key like '%/2019/01/31/%''. Waiting 15 seconds
Successfully retrieved 6809 objects with key filter %/2019/01/31/%
2023-04-26 14:33:32.076023
Time: 2023-04-26 14:33:33.754727 - 6809 granules remaining
Time: 2023-04-26 14:34:33.814180 - 6809 granules remaining
Time: 2023-04-26 14:35:33.874174 - 6769 granules remaining
Time: 2023-04-26 14:36:33.934876 - 6729 granules remaining
Time: 2023-04-26 14:37:33.994355 - 6727 granules remaining
Time: 2023-04-26 14:38:34.054176 - 6689 granules remaining
Time: 2023-04-26 14:39:34.114197 - 6649 granules remaining
Time: 2023-04-26 14:40:34.174182 - 6631 granules remaining
Time: 2023-04-26 14:41:34.234180 - 6609 granules remaining
Time: 2023-04-26 14:42:34.294178 - 6569 granules remaining
Time: 2023-04-26 14:43:34.354181 - 6533 granules remaining
Time: 2023-04-26 14:44:34.414189 - 6523 granules remaining
Time: 2023-04-26 14:45:34.474186 - 6489 granules remaining
Time: 2023-04-26 14:46:34.534172 - 6453 granules remaining
Time: 2023-04-26 14:47:34.594186 - 6436 granules remaining
Time: 2023-04-26 14:48:34.654227 - 6409 granules remaining
Time: 2023-04-26 14:49:34.714794 - 6374 granules remaining
Time: 2023-04-26 14:50:34.774294 - 6355 granules remaining
Time: 2023-04-26 14:51:34.834179 - 6329 granules remaining
Time: 2023-04-26 14:52:34.894185 - 6291 granules remaining
Time: 2023-04-26 14:53:34.954181 - 6267 granules remaining
Time: 2023-04-26 14:54:35.014343 - 6249 granules remaining
Time: 2023-04-26 14:55:35.074185 - 6210 granules remaining
Time: 2023-04-26 14:56:35.135355 - 6189 granules remaining
Time: 2023-04-26 14:57:35.194173 - 6168 granules remaining
Time: 2023-04-26 14:58:35.254175 - 6130 granules remaining
Time: 2023-04-26 14:59:35.314198 - 6096 granules remaining
Time: 2023-04-26 15:00:35.374179 - 6079 granules remaining
Time: 2023-04-26 15:01:35.434181 - 6049 granules remaining
Time: 2023-04-26 15:02:35.494198 - 6012 granules remaining
Time: 2023-04-26 15:03:35.554272 - 5994 granules remaining
Time: 2023-04-26 15:04:35.614187 - 5969 granules remaining
Time: 2023-04-26 15:05:35.674185 - 5931 granules remaining
Time: 2023-04-26 15:06:35.734191 - 5910 granules remaining
Time: 2023-04-26 15:07:35.794186 - 5888 granules remaining
Time: 2023-04-26 15:08:35.854180 - 5850 granules remaining
Time: 2023-04-26 15:09:35.915736 - 5819 granules remaining
Time: 2023-04-26 15:10:35.974194 - 5805 granules remaining
Time: 2023-04-26 15:11:36.034187 - 5770 granules remaining
Time: 2023-04-26 15:12:36.095420 - 5733 granules remaining
Time: 2023-04-26 15:13:36.154526 - 5717 granules remaining
Time: 2023-04-26 15:14:36.214177 - 5689 granules remaining
Time: 2023-04-26 15:15:36.274180 - 5651 granules remaining
Time: 2023-04-26 15:16:36.334183 - 5621 granules remaining
Time: 2023-04-26 15:17:36.394187 - 5605 granules remaining
Time: 2023-04-26 15:18:36.454174 - 5570 granules remaining
Time: 2023-04-26 15:19:36.514181 - 5536 granules remaining
Time: 2023-04-26 15:20:36.574173 - 5523 granules remaining
Time: 2023-04-26 15:21:36.634172 - 5489 granules remaining
Time: 2023-04-26 15:22:36.694189 - 5453 granules remaining
Time: 2023-04-26 15:23:36.754173 - 5435 granules remaining
Time: 2023-04-26 15:24:36.814180 - 5409 granules remaining
Time: 2023-04-26 15:25:36.874184 - 5370 granules remaining
Time: 2023-04-26 15:26:36.934242 - 5339 granules remaining
Time: 2023-04-26 15:27:36.994174 - 5326 granules remaining
Time: 2023-04-26 15:28:37.054184 - 5290 granules remaining
Time: 2023-04-26 15:29:37.114175 - 5253 granules remaining
Time: 2023-04-26 15:30:37.174200 - 5244 granules remaining
Time: 2023-04-26 15:31:37.234176 - 5210 granules remaining
Time: 2023-04-26 15:32:37.295219 - 5173 granules remaining
Time: 2023-04-26 15:33:37.354215 - 5161 granules remaining
Time: 2023-04-26 15:34:37.414191 - 5129 granules remaining
Time: 2023-04-26 15:35:37.476141 - 5091 granules remaining
Time: 2023-04-26 15:36:37.535497 - 5068 granules remaining
Time: 2023-04-26 15:37:37.594172 - 5048 granules remaining
Time: 2023-04-26 15:38:37.654185 - 5010 granules remaining
Time: 2023-04-26 15:39:37.714299 - 4986 granules remaining
Time: 2023-04-26 15:40:37.774177 - 4968 granules remaining
Time: 2023-04-26 15:41:37.834187 - 4930 granules remaining
Time: 2023-04-26 15:42:37.894179 - 4906 granules remaining
Time: 2023-04-26 15:43:37.954172 - 4889 granules remaining
Time: 2023-04-26 15:44:38.014190 - 4850 granules remaining
Time: 2023-04-26 15:45:38.074170 - 4823 granules remaining
Time: 2023-04-26 15:46:38.134186 - 4807 granules remaining
Time: 2023-04-26 15:47:38.194174 - 4770 granules remaining
Time: 2023-04-26 15:48:38.254389 - 4743 granules remaining
Time: 2023-04-26 15:49:38.314197 - 4729 granules remaining
